name,Address,sale_price_range,en_bloc_prob
Bright Building,"1 Jalan Raja Udang, singapore 329185",null,null
Brighton View,"23 Brighton Avenue, singapore 559258",null,>80%
Brightview Apartment,"Lorong 26 Geylang, singapore 398495",null,null
Bristol Lodge,"53 Bristol Road, singapore 219855","S$ 1,299,999
  -
  S$ 1,299,999",>80%
Brookvale Park,"2 Brookvale Walk, singapore 599952",null,>80%
Brookvale Park,"2 Brookvale Walk, singapore 599952",null,>80%
Buckley Classique,", singapore 309741","S$ 3,200,000
  -
  S$ 7,600,000",<20%
Bukit 828,"828 Upper Bukit Timah Road, singapore 678155","S$ 1,280,000
  -
  S$ 2,300,000",null
Bukit Regency,"1 Upper Bukit Timah View, singapore 588132",null,60%-79%
Buona Lodge,"1 Zehnder Road, singapore 117686",null,>80%
Buona Vista Gardens,"2 Zehnder Road, singapore 117687","S$ 1,800,000
  -
  S$ 1,800,000",null
Butterworth 8,"4 Butterworth Lane, singapore 439421","S$ 1,820,000
  -
  S$ 2,600,000",20%-39%
Butterworth 8,"4 Butterworth Lane, singapore 439421","S$ 1,820,000
  -
  S$ 2,600,000",20%-39%
Cai Gardens,"3 3 Foo Kim Lin Road, singapore 419679",null,null
Cairnhill 16,"16 Cairnhill Rise, singapore 229744","S$ 1,998,900
  -
  S$ 6,627,200",null
Cairnhill Astoria,"6A Cairnhill Rise, singapore 229742",null,>80%
Cairnhill Nine,"15 Cairnhill Road, singapore 229650","S$ 1,738,000
  -
  S$ 4,658,000",<20%
Calisay,"391 Upper Paya Lebar Road, singapore 534981",null,null
Camay Court,"63 Lorong M Telok Kurau, singapore 425364",null,null
Cambridge Village,"2a Cambridge Road, singapore 219679",null,>80%
Camden Park,"1-27 Camden Park, singapore 299791",null,null
Camelia Park,"137 Tamarind Road, singapore 806084",null,null
Camellia Lodge,"31 Lor 31 Geylang, singapore 388030",null,60%-79%
Camelodge,"106 Upper East Coast Road, singapore 455296","S$ 2,050,000
  -
  S$ 2,050,000",>80%
Camwood Park,"8D Gallop Road, singapore 258970",null,null
Canary Ville,"138 Lorong J Telok Kurau, singapore 423484",null,40%-59%
Canberlin Apartments,"60 Lorong 16 Geylang, singapore 398887","S$ 1,300,000
  -
  S$ 1,300,000",40%-59%
Canberlin Lodge,"69 Lorong 6 Geylang, singapore 399221",null,40%-59%
Canberra (parcel b),"Canberra Drive, singapore 752106",null,null
Canberra Residences,"501 Canberra Drive, singapore 768124","S$ 688,000
  -
  S$ 1,800,000",<20%
Candeville,"37 Lorong M Telok Kurau, singapore 425316",null,>80%
Cannaville,"34 Duku Road, singapore 429192",null,>80%
Canne Ville,"6 Lorong 3 Geylang, singapore 399168",null,null
Canninghill Piers,"177 River Valley Road, singapore 179030",null,null
Canninghill Square,"177 River Valley Road, singapore 179030","S$ 2,180,000
  -
  S$ 12,000,000",null
Cantiz @ Rambai,"21 Rambai Road, singapore 424340",null,20%-39%
Cape Royale,"00 Cove Way, singapore 098000",null,null
Carabelle,"51 West Coast Way, singapore 127015","S$ 1,350,000
  -
  S$ 1,750,000",<20%
Cardiff Court,"101-103 Cardiff Grove, singapore 558961",null,null
Cardiff Residence,"101 Cardiff Grove, singapore 558961","S$ 625,000
  -
  S$ 1,800,000",<20%
Carpmael Thirty-Eight,"38 Carpmael Rd, singapore 429781","S$ 2,260,000
  -
  S$ 2,260,000",null
Casa Cairnhill,"1 Peck Hay Road, singapore 228305",null,>80%
Casa Cambio,"9 Lim Tua Tow Road, singapore 547726","S$ 768,000
  -
  S$ 1,300,000",<20%
Casa De Venice,"6 Lengkok Empat, singapore 417613",null,null
Casa Emerald,"51 Geylang Lorong 32, singapore 398311",null,40%-59%
Casa Espania,"19 Gambir Walk, singapore 538977",null,>80%
Casa Esperanza,"995 Bukit Timah Road, singapore 589632",null,>80%
Casa Feliz,"81 Koon Seng Road, singapore 427024",null,>80%
Casa Flora,"21 Salam Walk, singapore 467169",null,60%-79%
Casa Fortuna,"0 Ah Hood Road, singapore 320000","S$ 820,000
  -
  S$ 1,600,000",<20%
Casa Irrawaddy,"61 Irrawaddy Road, singapore 329557",null,60%-79%
Casa Jervois,"99 Jervois Road, singapore 249055",null,>80%
Casa Jervois,"99 Jervois Road, singapore 249055",null,>80%
Casa Melwani,"7 Surrey Road, singapore 307746",null,null
Casa Merah,"50 Tanah Merah Kechil Avenue, singapore 465524","S$ 1,099,000
  -
  S$ 2,200,000",<20%
Casa Nassau,"386/394/396A(ENBLOC) Upper East Coast Road, singapore 466476",null,null
Casa Pasir Ris,"201 Jalan Loyang Besar, singapore 509506","S$ 1,000,000
  -
  S$ 2,200,000",60%-79%
Casa Riviera,"19 Lim Tua Tow Road, singapore 547766",null,60%-79%
Casa Rosita,"257E Bukit Timah Road, singapore 259702",null,null
Casa Sophia,"105 Sophia Road, singapore 228170",null,>80%
Cascadale,"730 Upper Changi Road East, singapore 486858","S$ 1,480,000
  -
  S$ 1,700,000",60%-79%
Cascadale,"730 Upper Changi Road East, singapore 486858","S$ 1,480,000
  -
  S$ 1,700,000",60%-79%
Cascata,"7 Teo Kim Eng Road, singapore 416378",null,40%-59%
Cashew Estate,", singapore 000101",null,null
Cashew Villas,"78 Cashew Crescent, singapore 679678",null,null
Caspian,"121B Westwood Avenue, singapore 648300","S$ 685,000
  -
  S$ 1,900,000",<20%
Cassia View,"320 Guillemard Road, singapore 399746",null,60%-79%
Casuarina Cove,"120 Tanjong Rhu Road, singapore 436904","S$ 1,770,000
  -
  S$ 1,780,000",60%-79%
Cathay Gardens,"1 Keris Drive, singapore 456964",null,null
Cavenagh Fortuna,"91 Cavenagh Road, singapore 229629",null,null
Celadon View,"45 Jalan Loyang Besar, singapore 507029",null,60%-79%
Centennia Suites,"100 Kim Seng Road, singapore 239427","S$ 3,714,000
  -
  S$ 6,500,000",<20%
Centra Heights,"455 Sims Avenue, singapore 387607","S$ 728,000
  -
  S$ 1,100,000",<20%
Centra Loft,"3 Lorong 35 Geylang, singapore 387935","S$ 648,888
  -
  S$ 680,000",<20%
Centra Residence,"8 Lorong 7 Geylang, singapore 388792","S$ 648,000
  -
  S$ 1,118,000",<20%
Central Green Condominium,"1 JALAN MEMBINA, singapore 169479",null,40%-59%
Central Imperial,"3 Lorong 14 Geylang, singapore 398915","S$ 638,000
  -
  S$ 638,000",<20%
Central Meadows,"51 Lorong 34 Geylang, singapore 398240",null,40%-59%
Central Square,"20 Havelock Road, singapore 059765",null,null
Central View,"50 Hougang Street 11, singapore 538749","S$ 1,250,000
  -
  S$ 1,250,000",40%-59%
Centro Mansions,"20 Lorong 32 Geylang, singapore 398280",null,40%-59%
Centro Mansions,"20 Lorong 32 Geylang, singapore 398280",null,40%-59%
Centro Residences,"59 Ang Mo Kio Avenue 8, singapore 567752","S$ 1,200,000
  -
  S$ 2,100,000",<20%
Century Ville,"4 Keng Chin Road, singapore 258707",null,null
Ceylon Court,"105 Ceylon Road, singapore 429680",null,null
Ceylon Crest,"30 Ceylon Road, singapore 429623",null,40%-59%
Chancery Corner,"8A Chancery Lane, singapore 309495",null,>80%
Chancery Garden,"14 Chancery Hill Road, singapore 309655",null,null
Chancery Lodge,"22 Chancery Hill Road, singapore 309660",null,null
Chancery Park,"9 Chancery Lane, singapore 309499",null,60%-79%
Changi Green,"712 Upper Changi Road East, singapore 486842","S$ 1,002,800
  -
  S$ 1,200,000",40%-59%
Chantilly Rise,"80 Hillview Avenue, singapore 669579","S$ 988,000
  -
  S$ 1,350,000",40%-59%
Chantilly Rise,"80 Hillview Avenue, singapore 669579","S$ 988,000
  -
  S$ 1,350,000",40%-59%
Chapel Court,"27 Sea Avenue, singapore 424247",null,60%-79%
Chapel Lodge,"41 Lorong Stangee, singapore 425032",null,60%-79%
Char Yong Gardens,"1 3 Hullet Road, singapore 229157",null,null
Charisma View,"167 Jalan Jurong Kechil, singapore 598671","S$ 900,000
  -
  S$ 900,000",40%-59%
Charlton Court,"29B Surin Avenue, singapore 535609",null,null
Charming Garden,"138 King's Road, singapore 268156",null,>80%
Chateau Eliza,"18 Mount Elizabeth, singapore 228514",null,null
Chelsea Gardens,"6 Walshe Road, singapore 257650","S$ 3,500,000
  -
  S$ 3,500,000",60%-79%
Chelsea Lodge,"300 Tanjong Katong Road, singapore 437083","S$ 1,600,000
  -
  S$ 1,699,000",40%-59%
Chen Fang Mansions,"26 Lorong 33 Geylang, singapore 387986",null,60%-79%
Cherry Gardens,"61 Lorong Lew Lian, singapore 536491","S$ 980,000
  -
  S$ 980,000",40%-59%
Cherryhill,"21 Lorong Lew Lian, singapore 536467","S$ 1,500,000
  -
  S$ 1,500,000",60%-79%
Chester Park,"1 Lorong Sarhad, singapore 119129",null,null
Chestnut Ville,"2 - 60 Jalan Pakis, singapore 678595",null,>80%
Chiku Mansions,"188 Joo Chiat Place, singapore 427900",null,>80%
Chiverton,"50 Ewe Boon Road, singapore 259343",null,40%-59%
Choon Sing Garden,"97 Jalan Binchang, singapore 578568",null,null
Chuan Park,"240 Lorong Chuan, singapore 556743",null,60%-79%
Chuan Vista II,"29 Chuan Drive, singapore 554811",null,null
Chwee Chian Garden,"53 Chwee Chian Garden, singapore 119760",null,null
Citadines Balestier,"207 Balestier Road, singapore 329683",null,null
City Mansion,"71 - 73 Paterson Road, singapore 238544",null,null
City Towers,"317 Bukit Timah Road, singapore 259711",null,>80%
City Towers enbloc (Perfect 10),"317 Bukit Timah Road, singapore 259711",null,null
Cityscape at Farrer Park,"101 Mergui Road, singapore 219067","S$ 1,600,000
  -
  S$ 4,810,500",null
CITYVALE,"70 Sophia Road, singapore 228153",null,40%-59%
Clavon,"Clementi Avenue 1, singapore 120403",null,null
Cliveden at Grange,"100 Grange Road, singapore 249591",null,<20%
Clover By The Park,"2 Bishan Street 25, singapore 573973","S$ 1,830,000
  -
  S$ 2,850,000",<20%
Cluny Park Residence,"99 Cluny Park Road, singapore 257496","S$ 2,850,000
  -
  S$ 3,300,000",<20%
Clydesview,"16A Jervois Lane, singapore 159192","S$ 4,100,000
  -
  S$ 4,100,000",>80%
Clydeswood,"2 Daisy Road, singapore 359425",null,>80%
Coastal Breeze Residences,"8 Loyang Besar Close, singapore 509049","S$ 1,100,000
  -
  S$ 1,600,000",<20%
Coastarina,"510 East Coast Road, singapore 459135",null,20%-39%
Coastline Residences,"9 Amber Road, singapore 439854","S$ 950,000
  -
  S$ 3,072,000",null
Coco Palms,"21 Pasir Ris Grove, singapore 518070","S$ 699,000
  -
  S$ 2,500,000",null
Commonwealth Towers,"0 Commonwealth Avenue, singapore 000000","S$ 898,000
  -
  S$ 2,850,000",null
Compass Green,"100 100 – 104 Tanah Merah Besar Road, singapore 498839",null,null
Concorde Residences,"368 Thomson Road, singapore 298127",null,null
Concourse Skyline,"298 Beach Road, singapore 199554","S$ 1,380,000
  -
  S$ 48,000,000",<20%
CONDOMINIUMS (11) - new - 5 storey,"11 Mattar Road, singapore 387720",null,null
CONDOMINIUMS (21) - new - 13 storey (33 DEVONSHIRE),"33 Devonshire Road, singapore 239852",null,null
CONDOMINIUMS (35) - new - 5 storey (FORMER KOVAN LODGE),"51A Kovan Road, singapore 548135",null,null
Cooliv Service Apartment,"5 Pasir Panjang Rd, singapore 118494",null,null
Coralis,"530 Joo Chiat Road, singapore 427710","S$ 950,000
  -
  S$ 1,880,000",<20%
Corals at Keppel Bay,"1 Keppel Bay Drive, singapore 098012","S$ 1,399,000
  -
  S$ 17,800,000",<20%
Corona Court,"6 - 18A Jalan Haji Alias, singapore 268507",null,null
Corona Ville,"35 Jalan Haji Alias, singapore 268535",null,>80%
Coronation Grove,", singapore 269267",null,>80%
Coronation Village,"108A Coronation Road, singapore 269510",null,null
Coronation Ville,"73 Coronation Road, singapore 269470",null,null
Cosmo,"18 Guillemard Crescent, singapore 399914","S$ 1,100,000
  -
  S$ 1,200,000",null
Costa Rhu,"1 Rhu Cross, singapore 437431","S$ 1,330,000
  -
  S$ 3,690,000",<20%
Cosy 23,"23 Lorong 30 Geylang, singapore 398355",null,60%-79%
Cosy Lodge,"29 Lorong 31 Geylang, singapore 388029",null,60%-79%
Country Esquire,"20 Lorong Puntong, singapore 576438",null,>80%
Country Grandeur,"22 Lorong Puntong, singapore 576439",null,60%-79%
Countryview,"577C Sembawang Place, singapore 757766",null,null
Cradels,"10 Lorong Limau, singapore 328754","S$ 700,000
  -
  S$ 1,084,800",<20%
Cree Court,"83 Dalvey Road, singapore 259495",null,null
Crescendo Park,"6 Jalan Tua Kong, singapore 457269","S$ 1,200,000
  -
  S$ 1,880,000",null
Crystal Dew,"10 Geylang East Avenue 1, singapore 389781",null,40%-59%
Crystal Mansions,"3 Lorong 6 Geylang, singapore 399165",null,>80%
Cube 8,"376 Thomson Road, singapore 298130","S$ 950,000
  -
  S$ 2,850,000",<20%
Culford Gardens,"169 Upper East Coast Road, singapore 455272",null,null
Cuscaden Reserve,"8 Cuscaden Road, singapore 249732","S$ 2,200,000
  -
  S$ 7,657,000",null
Cyan,"6 Keng Chin Road, singapore 258709","S$ 1,399,000
  -
  S$ 11,228,247",<20%
D' Almira,"33 Sommerville Road, singapore 358262","S$ 820,000
  -
  S$ 820,000",20%-39%
D' Chateau @ Shelford,"25 Shelford Road, singapore 288415","S$ 3,300,000
  -
  S$ 3,680,000",null
D'Cambridge,"1 Flora Drive, singapore 507009","S$ 1,125,000
  -
  S$ 1,300,000",20%-39%
D'Casita,"12 Dairy Farm Lane, singapore 677615",null,null
D'Castilia,"3 Daisy Road, singapore 359426",null,null
D'Ecosia,"34 Dakota Crescent, singapore 399936","S$ 1,650,000
  -
  S$ 3,500,000",40%-59%
D'Grove Villas,"28 Dalvey Estate, singapore 259548",null,>80%
D'hiro@Hillside,"101 Dalvey Road Singapore, singapore 259514","S$ 5,235,000
  -
  S$ 18,000,000",20%-39%
d'Leedon (Former Farrer Court),"10 Dalvey Estate, singapore 259527",null,null
D'Lotus,"32 Jalan Datoh, singapore 329420",null,20%-39%
D'Marine,"60 Cambridge Road, singapore 219757",null,null
D'Mira,"38 Lorong Marzuki, singapore 417104","S$ 5,580,000
  -
  S$ 5,580,000",<20%
D'Nest,"45 Joo Chiat Lane, singapore 428104",null,null
D'Oasia,"22 Jalan Datoh, singapore 329417",null,20%-39%
D'Sunrise,"86A Lor N Telok Kurau, singapore 425236",null,20%-39%
D'Weave,"20 Martaban Road, singapore 328644","S$ 1,190,000
  -
  S$ 1,299,000",<20%
D'Zire,"27 Still Road South, singapore 423936","S$ 999,999
  -
  S$ 999,999",<20%
Dahlia Park Condo,"16 Lorong 33 Geylang, singapore 387982",null,null
Dairy Farm Residences,"30 Kampong Eunos, singapore 416541","S$ 2,400,000
  -
  S$ 2,400,000",null
Daisy Lodge,"5 Derbyshire Road, singapore 309461",null,>80%
Dakota Residences,"3 Derbyshire Road, singapore 309459","S$ 2,099,999
  -
  S$ 2,099,999",<20%
Dalvey Court,"8 Devonshire Road, singapore 239845",null,>80%
Dalvey Haus,"55 Devonshire Road, singapore 239855","S$ 1,180,000
  -
  S$ 2,190,000",null
Dalvey Villas,"8A Orange Grove Road, singapore 258343",null,null
Datoh Court,"61 Hillside Drive, singapore 549010","S$ 820,000
  -
  S$ 1,060,000",null
De Angelo,"Jalan Rajah, singapore 329137",null,null
De Casalle,"13 Leedon Heights, singapore 266224","S$ 1,118,000
  -
  S$ 9,600,000",60%-79%
De Paradiso,"10 Lorong Ampas, singapore 328784","S$ 838,000
  -
  S$ 850,000",40%-59%
Delight Court,"521 Joo Chiat Road, singapore 427701",null,>80%
Deng Fu Ville,"31 Boon Teck Road, singapore 329602","S$ 1,450,000
  -
  S$ 2,350,000",20%-39%
Derby Court,"131 Pasir Ris Grove, singapore 518130","S$ 640,000
  -
  S$ 2,480,000",>80%
Derbyshire Heights,"11 Lorong Melayu, singapore 416905","S$ 1,260,000
  -
  S$ 1,290,000",40%-59%
