name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Bayville Condo,"42 South Buona Vista Road, singapore 118166","S$ 2,200,000
  -
  S$ 2,200,000",null,1.281158608,103.78776,99,,
Beaufort on Nassim,"12 Nassim Road, singapore 258380","S$ 4,936,800
  -
  S$ 10,869,800",20%-39%,1.308569355,103.8247385,99,,
Beauty World Plaza,"140 Upper Bukit Timah Road, singapore 588176",null,>80%,1.341800186,103.7762594,99,,
Beaverton Court,"45 Mount Sinai Rise, singapore 276958","S$ 17,000,000
  -
  S$ 17,000,000",>80%,1.316079983,103.7760882,99,,
Bedok Gardens,"41 Jalan Limau Nipis, singapore 468294","S$ 5,200,000
  -
  S$ 5,200,000",null,1.325145368,103.9485057,99,,
Bedok Residences,"14 Bedok North Drive, singapore 465493","S$ 900,000
  -
  S$ 3,680,000",<20%,1.324736328,103.9292563,99,,
Bella Casita,"7 Ipoh Lane, singapore 438610","S$ 790,000
  -
  S$ 1,550,000",20%-39%,1.311842215,103.8947848,99,,
Belle Vue Residences,"15 Oxley Walk, singapore 238590","S$ 4,140,000
  -
  S$ 7,800,000",<20%,1.296595789,103.8423939,99,,
Bellerive,"9 Keng Chin Road, singapore 258711",null,20%-39%,1.316986726,103.830547,99,,
Belmondo View,"20 Pegu Road, singapore 328369",null,40%-59%,1.323262809,103.8512156,99,,
Bideford Hills,"30 Bideford Road, singapore 229922",null,null,1.304250532,103.8368128,99,,
Bijou,"2 Jalan Mat Jambol, singapore 119554","S$ 1,120,000
  -
  S$ 2,661,000",null,1.276853864,103.7917422,99,,
Birchwood Mansions,"3 Jalan Ampas, singapore 329504","S$ 1,600,000
  -
  S$ 1,750,000",>80%,1.325946872,103.8508395,99,,
Bishan Loft,"31 Bishan Street 11, singapore 579819","S$ 1,888,000
  -
  S$ 1,888,000",<20%,1.347521837,103.8520478,99,,
Bliss Loft,"25 Kim Keat Close, singapore 328933","S$ 1,100,000
  -
  S$ 1,100,000",<20%,1.323229455,103.8529293,99,,
Bliss Ville,"69H Lorong Melayu, singapore 416963","S$ 1,150,000
  -
  S$ 1,580,000",20%-39%,1.323884822,103.9097058,99,,
Blissful View,"5A Holland Hill, singapore 278730",null,>80%,1.309563432,103.8027633,99,,
Blossom Mansions,"5 Lorong 37 Geylang, singapore 387903",null,60%-79%,1.315439514,103.889367,99,,
Blossom View,"31 Lorong 26 Geylang, singapore 398498",null,60%-79%,1.311647735,103.8850599,99,,
Blossoms @ Woodleigh,"10 Woodleigh Close, singapore 357905","S$ 3,600,000
  -
  S$ 3,600,000",<20%,1.336413575,103.8685717,99,,
Blu Coral Condo,"127 Lorong L Telok Kurau, singapore 425562","S$ 2,200,000
  -
  S$ 2,600,000",null,1.312692864,103.9144193,99,,
Bo Bo Tan Gardens,"33 Chay Yan St, singapore 169902",null,null,undefined,undefined,0,,
Boathouse Residences,"33 Upper Serangoon View, singapore 534042","S$ 710,000
  -
  S$ 1,850,000",<20%,1.375578552,103.9033168,99,,
Boon Lay View,"218A Jurong West Avenue 2, singapore 641218",null,null,1.349968587,103.7105396,99,,
Botanique at Bartley,"239 Upper Paya Lebar Road, singapore 533866","S$ 799,999
  -
  S$ 1,938,000",null,1.342417493,103.8825395,99,,
Boulevard 88,"86 Orchard Boulevard, singapore 248655",null,null,1.304954321,103.8276275,99,,
Boulevard Vue,"11 Cuscaden Walk, singapore 249697","S$ 17,990,000
  -
  S$ 23,000,000",<20%,1.303082589,103.8290269,99,,
Bournemouth Eight,"70 Bournemouth Road, singapore 439710","S$ 7,500,000
  -
  S$ 8,700,000",null,1.301783259,103.8913867,99,,
Bowmont centre,"20 Siglap Drive, singapore 456192",null,20%-39%,1.315656254,103.9192457,99,,
Braddel Regalia,"30 Braddell Road, singapore 359946",null,null,1.343749651,103.8688919,99,,
Braddell Park,"58 Jalan Lateh, singapore 359136",null,null,undefined,undefined,0,,
Breezy Mansions,"15 Sandilands Road, singapore 546079",null,40%-59%,1.362241503,103.8780147,99,,
Bright Building,"1 Jalan Raja Udang, singapore 329185",null,null,undefined,undefined,0,,
Brighton View,"23 Brighton Avenue, singapore 559258",null,>80%,1.360510713,103.8729474,99,,
Brightview Apartment,"Lorong 26 Geylang, singapore 398495",null,null,1.311780119,103.8846058,99,,
Bristol Lodge,"53 Bristol Road, singapore 219855","S$ 1,299,999
  -
  S$ 1,299,999",>80%,1.313676341,103.8495093,99,,
